"Year","State","Plant","Long","Plant latitude","Coal","Oil","Gas","Nuclear","Hydro","Biomass","Wind","Solar","Geo","Other1","Other2"
"2018","AK","Togiak","-160.380278","59.059744","0","3,017","0","0","0","0","0","0","0","0","0"
"2018","AK","Tok","-142.99997","63.33552","0","9,185","0","0","0","0","0","0","0","0","0"
"2018","AK","Toksook Bay","-165.108575","60.530142","0","2,886","0","0","0","0","0","0","0","0","0"
"2018","AK","Tyee Lake Hydroelectric Facility","-131.504344","56.216403","0","0","0","0","117,206","0","0","0","0","0","0"
"2018","AK","Unalakleet","-160.790414","63.876789","0","3,298","0","0","0","0","0","0","0","0","0"
"2018","AK","Unalaska Power Module","-166.512591","53.863993","0","201","0","0","0","0","0","0","0","0","0"
"2018","AK","Unisea G 2","-166.5532","53.8796","0","27,726","0","0","0","2,790","0","0","0","0","0"
"2018","AK","University of Alaska Fairbanks","-147.822075","64.854171","35,858","5,780","0","0","0","0","0","0","0","0","0"
"2018","AK","Upper Kalskag","-160.348128","61.526858","0","1,531","0","0","0","0","0","0","0","0","0"
"2018","AK","Utility Plants Section","-147.648627","64.825601","90,177","0","0","0","0","0","0","0","0","0","0"
"2018","AK","Valdez","-146.3647","61.1303","0","888","0","0","0","0","0","0","0","0","0"
"2018","AK","Valdez Cogen","-146.2529","61.0839","0","16,993","0","0","0","0","0","0","0","0","0"
"2018","AK","Viking","-133.102344","55.540708","0","0","0","0","0","0","0","0","0","0","0"
"2018","AK","Westward Seafoods","-166.55288","53.858508","0","11,797","0","0","0","0","0","0","0","0","0"
"2018","AK","Whitman","-131.530833","55.328056","0","0","0","0","6,998","0","0","0","0","0","0"
"2018","AK","Wrangell","-132.379439","56.460976","0","520","0","0","0","0","0","0","0","0","0"
"2018","AK","Yakutat","-139.724306","59.544553","0","5,711","0","0","0","0","0","0","0","0","0"
"2018","AL","ABC Coke","-86.779866","33.582793","0","0","486","0","0","0","0","0","0","4,804","0"
"2018","AL","Alabama Pine Pulp","-87.4889","31.5825","0","235","19,718","0","0","393,127","0","0","0","0","0"
"2018","AL","Alabama River Pulp","-87.4889","31.5825","0","120","27,886","0","0","280,057","0","0","0","0","0"
"2018","AL","Albertville","-86.223889","34.363389","0","0","0","0","0","0","0","0","0","0","0"
"2018","AL","AMEA Sylacauga Plant","-86.2825","33.1661","0","0","34,570","0","0","0","0","0","0","0","0"
"2018","AL","ANAD Solar Array","-85.969481","33.626728","0","0","0","0","0","0","0","17,168","0","0","0"
"2018","AL","APC1","","","","","","","","","","","","",""
"2018","AL","APC2","","","","","","","","","","","","",""
"2018","AL","APC3","","","","","","","","","","","","",""
